restaurant,item,calories,sodium,sugar,total_fat,protein
Taco Bell,Beefy 5-Layer Burrito,550,1270,5,22,19.0
Taco Bell,Beefy Fritos® Burrito,440,1030,3,18,13.0
Taco Bell,Black Bean Burrito,410,1100,3,12,14.0
Taco Bell,Burrito Supreme® – Beef,420,1090,5,16,16.0
Taco Bell,Burrito Supreme® - Chicken,390,1050,5,12,19.0
Taco Bell,Burrito Supreme® - Steak,390,1090,5,13,17.0
Taco Bell,Cantina Power Burrito - Chicken,760,1960,7,27,32.0
Taco Bell,Cantina Power Burrito - Steak,780,1900,7,28,33.0
Taco Bell,Cantina Power Burrito - Veggie,740,1750,8,26,20.0
Taco Bell,Cheesy Bean and Rice Burrito,420,930,4,17,11.0
Taco Bell,Chili Cheese Burrito,380,930,2,17,16.0
Taco Bell,Chicken Crunchy Cheesy Core Burrito,610,1510,5,24,25.0
Taco Bell,Steak Crunchy Cheesy Core Burrito,610,1520,5,24,25.0
Taco Bell,Beef Crunchy Cheesy Core Burrito,630,1530,5,26,22.0
Taco Bell,Loaded Taco Burrito,550,1130,4,29,20.0
Taco Bell,Chicken Quesarito,620,1440,4,30,24.0
Taco Bell,Steak Quesarito,630,1410,4,31,25.0
Taco Bell,Beef Quesarito,650,1450,5,34,22.0
Taco Bell,Shredded Chicken Burrito,400,960,3,18,16.0
Taco Bell,Smothered Burrito - Beef,710,2260,4,35,28.0
Taco Bell,Smothered Burrito - Shredded Chicken,650,2230,4,28,34.0
Taco Bell,Smothered Burrito - Steak,670,2080,4,29,35.0
Taco Bell,Chicken Spicy Cheesy Core Burrito,540,1740,5,20,24.0
Taco Bell,Steak Spicy Cheesy Core Burrito,550,1750,5,21,24.0
Taco Bell,Beef Spicy Cheesy Core Burrito,570,1760,5,23,22.0
Taco Bell,Triple Melt Burrito,410,1030,3,16,15.0
Taco Bell,XXL Grilled Stuft Burrito - Beef,880,2020,6,42,31.0
Taco Bell,XXL Grilled Stuft Burrito - Chicken,830,1940,6,35,37.0
Taco Bell,XXL Grilled Stuft Burrito - Steak,820,2020,7,36,33.0
Taco Bell,Chicken Soft Taco,170,460,1,6,12.0
Taco Bell,Cool Ranch® Doritos® Double Decker® Taco,320,770,2,14,13.0
Taco Bell,Cool Ranch® Doritos® Locos Taco,160,350,1,10,8.0
Taco Bell,Cool Ranch® Doritos® Locos Taco Supreme,200,370,3,12,9.0
Taco Bell,Crunchy Taco,170,290,1,10,8.0
Taco Bell,Crunchy Taco Supreme®,200,320,2,12,9.0
Taco Bell,Double Decker® Taco,320,640,2,14,13.0
Taco Bell,DOUBLE DECKER® Taco Supreme®,350,670,3,16,14.0
Taco Bell,Spicy Sweet Double Stacked Taco,340,640,6,18,12.0
Taco Bell,Cool Ranch Habanero Double Stacked Taco,350,630,3,20,13.0
Taco Bell,Nacho Crunch Double Stacked Taco,380,650,2,19,13.0
Taco Bell,Fiery Doritos® Double Decker® Taco,320,770,2,13,14.0
Taco Bell,Fiery Doritos® Locos Taco,170,370,1,10,8.0
Taco Bell,Fiery Doritos® Locos Taco Supreme,200,390,2,12,9.0
Taco Bell,Grilled Steak Soft Taco,250,550,2,14,11.0
Taco Bell,Nacho Cheese Doritos® Double Decker® Taco,320,760,2,13,14.0
Taco Bell,Nacho Cheese Doritos® Locos Tacos,170,340,1,9,8.0
Taco Bell,Nacho Cheese Doritos® Locos Tacos Supreme,200,370,2,11,9.0
Taco Bell,Soft Taco Supreme® – Beef,230,530,3,11,10.0
Taco Bell,Soft Taco-Beef,200,510,1,9,10.0
Taco Bell,Spicy Potato Soft Taco,250,510,1,13,6.0
Taco Bell,Chalupa Supreme® - Chicken,340,530,4,18,16.0
Taco Bell,Chalupa Supreme® - Steak,340,570,4,18,14.0
Taco Bell,Chalupa Supreme®–Beef,370,570,4,21,13.0
Taco Bell,Double Chalupa,600,1010,5,35,21.0
Taco Bell,Wild Naked Chicken Chalupa,420,1070,2,28,19.0
Taco Bell,Mild Naked Chicken Chalupa,440,1090,1,30,20.0
Taco Bell,Spicy Double Chalupa,600,1240,5,35,21.0
Taco Bell,Fresco Bean Burrito,350,950,3,9,11.0
Taco Bell,Fresco Burrito Supreme® – Chicken,340,1020,4,8,17.0
Taco Bell,Fresco Burrito Supreme® – Steak,340,1060,4,9,15.0
Taco Bell,Fresco Chicken Soft Taco,150,460,2,4,11.0
Taco Bell,Fresco Crunchy Taco,140,290,1,8,6.0
Taco Bell,Fresco Grilled Steak Soft Taco,150,500,2,4,9.0
Taco Bell,Fresco Soft Taco,170,500,2,7,8.0
Taco Bell,Cheesy Gordita Crunch,490,810,6,29,20.0
Taco Bell,Doritos® Cheesy Gordita Crunch - Cool Ranch,490,890,5,28,20.0
Taco Bell,Doritos® Cheesy Gordita Crunch - Fiery,490,890,4,28,20.0
Taco Bell,Doritos® Cheesy Gordita Crunch - Nacho Cheese,490,880,5,28,20.0
Taco Bell,Double Cheesy Gordita Crunch,570,1110,5,32,25.0
Taco Bell,Gordita Supreme® – Beef,300,550,6,14,13.0
Taco Bell,Gordita Supreme® - Chicken,270,510,6,10,16.0
Taco Bell,Gordita Supreme® - Steak,270,550,6,11,14.0
Taco Bell,Nacho Fries Bellgrande,710,1420,4,41,13.0
Taco Bell,Nachos BellGrande®,760,1100,5,39,18.0
Taco Bell,Nachos Supreme,430,690,3,23,12.0
Taco Bell,Triple Layer Nachos,320,600,2,15,7.0
Taco Bell,Triple Melt Nachos,260,550,1,16,10.0
Taco Bell,Beefy Cheddar Crunchwrap Slider,410,960,3,19,14.0
Taco Bell,Beefy Mini Quesadilla,210,560,1,12,9.0
Taco Bell,Beefy Nacho Griller,420,870,3,19,12.0
Taco Bell,BLT Crunchwrap Slider,430,900,4,23,12.0
Taco Bell,Cantina Power Bowl - Chicken,560,1520,4,22,26.0
Taco Bell,Cantina Power Bowl - Steak,580,1460,4,23,27.0
Taco Bell,Cantina Power Bowl - Veggie,540,1310,4,21,14.0
Taco Bell,Cheese Quesadilla,480,1000,3,27,19.0
Taco Bell,Cheese Roll-Up,190,450,1,9,9.0
Taco Bell,Chicken Quesadilla,520,1210,3,28,27.0
Taco Bell,Chickstar,620,1290,4,37,17.0
Taco Bell,Chili Cheese Burrito,380,930,2,17,16.0
Taco Bell,Chipotle Crispy Chicken Griller,290,640,1,18,9.0
Taco Bell,Crispy Chicken Quesadilla,650,1480,3,37,26.0
Taco Bell,Crunchwrap Supreme®,540,1110,7,21,16.0
Taco Bell,Double Tostada,270,650,2,11,12.0
Taco Bell,Express Taco Salad w/ Chips,580,1270,7,29,23.0
Taco Bell,Loaded Potato Griller,470,1120,5,22,13.0
Taco Bell,Mexican Pizza,540,860,2,31,20.0
Taco Bell,MexiMelt®,270,740,2,14,14.0
Taco Bell,Steak Quesalupa,440,840,3,23,22.0
Taco Bell,Chicken Quesalupa,440,840,3,23,22.0
Taco Bell,Beef Quesalupa,460,890,3,26,19.0
Taco Bell,Shredded Chicken Mini Quesadilla,180,540,1,8,12.0
Taco Bell,Spicy Chicken Crunchwrap Slider,400,900,3,20,15.0
Taco Bell,Spicy Tostada,200,440,1,10,7.0
Taco Bell,Stacker,390,1050,3,18,18.0
Taco Bell,Steak Quesadilla,520,1250,3,28,25.0
Taco Bell,Original Triple Double Crunchwrap,700,1550,7,30,23.0
Taco Bell,Spicy Triple Double Crunchwrap,780,1850,8,38,23.0
Taco Bell,Express Taco Salad w/ Chips,580,1270,7,29,23.0
Taco Bell,Fiesta Taco Salad-Beef,780,1340,7,42,26.0
Taco Bell,Fiesta Taco Salad-Chicken,720,1260,8,35,32.0
Taco Bell,Fiesta Taco Salad-Steak,720,1340,8,36,28.0
burgerking,BLT풍치킨버거,642,1217,3.0,6,28
burgerking,BLT통다리치킨버거,911,1435,11.1,11,34
burgerking,더블와퍼,842,1198,10.5,20.2,45
burgerking,더콰트로치즈X,879,1643,6.1,23,41
burgerking,더콰트로치즈,834,1133,4.0,23,42
burgerking,디아블로킹치킨버거,462,923,5.4,5,20
burgerking,롱치킨디럭스,579,1100,7.7,5.5,25
burgerking,롱치킨버거,571,1100,5.7,5.5,25
burgerking,메가몬스터X,1420,2319,16.9,28,60
burgerking,몬스터와퍼,1055,1881,16.9,23.1,52
burgerking,몬스터X,1140,2222,18.6,27.6,51
burgerking,베이컨치즈와퍼,780,1368,7.5,19,37
burgerking,불고기통치킨버거,712,805,2.7,11,26
burgerking,불고기버거,371,432,9.9,8,17
burgerking,불고기와퍼,682,912,5.7,14,28
burgerking,불고기와퍼주니어,380,523,3.6,8,18
burgerking,아기상어새우버거,474,1226,6.5,6,14
burgerking,아빠상어새우버거,594,1261,6.6,9,24
burgerking,엄마상어새우버거,459,1257,7.8,5,15
burgerking,와퍼,619,809,10.5,13,29
burgerking,와퍼주니어,399,570,4.6,8,17
burgerking,치즈버거,366,752,5.9,9,19
burgerking,치즈와퍼,716,1288,7.1,16,33
burgerking,치즈와퍼주니어,438,771,4.8,10,19
burgerking,콰트로치즈와퍼,769,1051,6.2,20,40
burgerking,콰트로치즈와퍼주니어,446,631,3.1,10,21
burgerking,킹치킨버거,532,714,2.7,7,20
burgerking,통다리치킨버거,821,1287,10.1,10,29
burgerking,통모짜X,1033,1529,16.7,20,46
burgerking,통모짜와퍼,1058,1465,15.3,21,51
burgerking,통모짜와퍼주니어,699,1013,10.4,14,30
burgerking,통새우스테이크버거,851,1565,9.8,22,33
burgerking,통새우와퍼,741,984,4.8,15,34
burgerking,통새우와퍼주니어,381,522,5.0,7.3,21
burgerking,트러플머쉬룸와퍼,738,1254,8.0,12,29
burgerking,트러플머쉬룸와퍼주니어,404,554,7.2,7,16
burgerking,트러플머쉬룸X,776,1311,14.7,14,33
burgerking,트러플토모찌와퍼,1088,1221,12.8,23,51
burgerking,허니칠리킹치킨버거,477,751,5.3,6,20
burgerking,스테이크패티 추가,309,425,0.7,11.1,19
burgerking,와퍼패터 추가,223,389,0.0,7,16
burgerking,버거패티 추가,114,199,0.0,3.7,8
burgerking,치즈 1장 추가,41,197,0.0,2.2,3
burgerking,베이컨 2장 추가,26,50,0.0,0.7,2
burgerking,베이컨 4장 추가,53,100,0.0,1.5,3
burgerking,스위트칠리소스,50,205,10.2,0,0
burgerking,까망베르치즈소스[pouch],133,280,1.2,2.3,1
burgerking,디아블로소스[pouch],39,293,7.4,0,0
burgerking,케찹[pouch],11,107,2.3,0,0
burgerking,허니머스타드[pouch],32,60,3.1,0,0
burgerking,할라피뇨 2개 추가,3,54,0.5,0,0.04
burgerking,할라피뇨 4개 추가,6,108,1.0,0,0.08
burgerking,21치즈스틱,155,251,1.5,3,5
burgerking,너겟킹((4조각),139,289,0.4,2,6
burgerking,너겟킹(6조각),210,434,0.6,3,8
burgerking,너겟킹(10조각),347,723,1.0,5,14
burgerking,바삭킹(2조각),272,497,1.7,5.0,15
burgerking,바삭킹(4조각),544,993,3.4,10.0,29
burgerking,바삭킹(8조각),1088,1986,6.7,20.1,59
burgerking,어니언링,332,476,2.5,3,5
burgerking,치즈프라이,440,447,1.8,8,12
burgerking,코울슬로,130,218,13.2,0.9,1
burgerking,코코넛쉬림프(3조각),81,177,1.7,0.9,6
burgerking,코코넛쉬림프(6조각),162,353,3.4,1.7,12
burgerking,코코넛쉬림프(9조각),243,531,5.1,2.6,18
burgerking,콘샐러드,189,226,5.3,1,2
burgerking,크리미모짜볼(5조각),198,124,4.0,1,7
burgerking,크리미모짜볼(10조각),395,248,9.0,1,14
burgerking,트러플프라이,445,496,0.3,9,10
burgerking,프랜치프라이(L),377,432,0.4,4,5
burgerking,프랜치프라이(R),285,326,0.3,3,4
burgerking,해쉬브라운,169,263,0.0,3,2
burgerking,미닛메이드 오렌지(350ml PET),172,11,36.0,0,0
burgerking,스프라이트(L),237,32,60.0,0,0
burgerking,스프라이트(R),165,23,42.1,0,0
burgerking,씨그램,0,11,0.0,0,0
burgerking,제로톡톡 복숭아,0,10,0.0,0,0
burgerking,제로톡톡 청포도,0,10,0.0,0,0
burgerking,제로톡톡 체리,0,10,0.0,0,0
burgerking,코카콜라(L),215,22,55.9,0,0
burgerking,코카콜라(R),150,15,39.1,0,0
burgerking,코카콜라 제로(L),0,43,0.0,0,0
burgerking,코카콜라 제로(R),0,30,0.0,0,0
burgerking,아메리카노,6,0,0.0,0,0
lotteria,데리버거,348,590,10,4.9,12
lotteria,치킨버거,355,619,8,3.8,15
lotteria,치킨_버거,355,619,8,3.8,15
lotteria,T-REX버거,475,874,7,5.4,26
lotteria,리아미라클Ⅱ버거,352,550,9,4.0,15
lotteria,더블리아미라클Ⅱ버거,520,880,11,7.0,24
lotteria,새우버거,492,810,7,4.7,15
lotteria,새우_버거,492,810,7,4.7,15
lotteria,사각새우더블버거,556,962,7,5.1,17
lotteria,사각_새우더블버거,556,962,7,5.1,17
lotteria,모짜렐라 인더 버거-베이컨,699,1020,6,16.0,30
lotteria,불고기버거,476,778,10,7.2,20
lotteria,전주비빔라이스버거,572,1460,8,8,17
lotteria,핫크리스피버거,503,929,5,7.3,22
lotteria,DoubleX2버거,716,1070,7,25,25
lotteria,불고기 익스트림 오징어,650,1070,14,8,29
lotteria,불고기 베이컨,522,840,11,9,22
lotteria,새우 익스트림 레몬크림,534,910,12,4.1,17
lotteria,새우_익스트림 레몬크림,534,910,12,4.1,17
lotteria,새우 베이컨,538,870,7,6,17
lotteria,새우_베이컨,538,870,7,6,17
lotteria,더블 데리버거,446,740,10,7.0,19
lotteria,더블 치킨버거,478,950,11,5.0,24
lotteria,더블_치킨버거,478,950,11,5.0,24
lotteria,더블 클래식치즈버거,731,1110,6,25.0,25
lotteria,마라로드치킨,573,1210,14,6,27
lotteria,마라로드새우,509,1100,14,4.2,13
lotteria,마라로드_새우,509,1100,14,4.2,13
lotteria,마라로드비프,661,970,13,16,20
lotteria,왕돈까스버거,901,1570,14,8,35
lotteria,매운 왕돈까스버거,903,1580,15,8,35
lotteria,한우불고기버거,572,797,15,12.0,24
lotteria,더블한우불고기버거,802,1150,18,20.0,48
lotteria,한우트러플머쉬룸버거,584,985,18,14.7,25
lotteria,빅불버거,761,1370,12,16,36
lotteria,클래식치즈버거_(버터번),492,770,5,14,16
lotteria,힙&핫치킨버거,597,1473,20,7.6,25
lotteria,포테이토,267,322,0,3.2,4
lotteria,포테이토(L),389,471,0,4.7,6
lotteria,웨지포테이토,242,174,0,0.5,3
lotteria,치킨너겟,198,361,0,3.3,12
lotteria,양념감자(오니언),365,544,1,4.2,5
lotteria,양념감자(치즈),365,544,2,4.4,5
lotteria,양념감자(칠리),358,584,1,4.2,5
lotteria,내츄럴치즈스틱,160,183,0,2.6,9
lotteria,롱치즈스틱,156,236,0,7.0,8
lotteria,모짜크림치즈볼,218,177,6,4.4,3
lotteria,콘샐러드,146,190,1,1.3,2
lotteria,청주 매운만두 4조각,330,420,3,4.7,10
lotteria,청주 미친만두 4조각,346,480,3,4.9,10
lotteria,청주 섞미만두,338,450,3,4.8,10
lotteria,청주 매운만두 2조각,165,210,2,2.3,5
lotteria,청주 미친만두 2조각,173,240,2,2.5,5
lotteria,깡돼후 돼지후라이드,540,930,15,6,19
lotteria,깡돼후 돼지후라이드 콤보,667,945,46,6,19
lotteria,허니머스타드,25,70,2,0.3,0
lotteria,통오징어링,179,333,1,0.8,8
lotteria,시나몬 슈가 시즈닝,16,0,4,0.0,0
lotteria,잠발라야소스,33,121,7,0.0,0
lotteria,롯데리아빙수(보냉X),602,150,98,3.4,9
lotteria,롯데리아빙수(보냉o),602,150,98,3.4,9
lotteria,토네이토초코쿠키,305,140,31,8.0,4
lotteria,토네이토스트로베리,268,70,34,7.0,3
lotteria,토네이도 허쉬초코,313,75,40,8.0,4
lotteria,토네이도 더블초코,345,145,40,9,5
lotteria,지파이 고소한맛(S),422,656,1,6.8,20
lotteria,지파이 하바네로(L),566,1180,0,9.8,28
lotteria,페스츄리꽈배기,450,437,8,9.5,8
lotteria,페스츄리꽈배기 시나몬,466,437,12,9.5,8
lotteria,꽈배기콤보 플레인,688,527,37,15.2,15
lotteria,꽈배기콤보 시나몬,704,527,41,15.2,15
lotteria,스위트앤사워,24,53,4,0.0,0
lotteria,칠리 시즈닝,8,160,1,0.0,0
lotteria,어니언 시즈닝,15,120,1,0.0,0
lotteria,치즈시즈닝,15,130,2,0.2,0
lotteria,갈비맛소스,87,410,13,0,0
lotteria,크리미마늘소스,112,230,8,1.4,0
lotteria,크리미양념소스,99,360,9,0.7,0
lotteria,데리야끼소스,70,390,10,0.0,1
lotteria,머스타드소스,91,150,5,1.0,0
lotteria,핫소스,102,162,9,0.2,0
lotteria,필로우 돈까스소스 30G,32,200,5,0,0
lotteria,필로우 매운돈까스소스 30G,36,210,7,0,0
lotteria,쉑쉑치킨(오니언),259,353,2,2.5,15
lotteria,쉑쉑치킨(치즈),259,363,3,2.7,16
lotteria,쉑쉑치킨(칠리),252,393,1,2.5,15
lotteria,치킨 1조각 ,272,694,2,4.1,18
lotteria,1인혼닭,568 ,1594,1 ,8.4,61
lotteria,치킨풀팩 - 콘샐러드,2590 ,6439,15 ,38.3,166
lotteria,치킨풀팩 - 포테이토,2711 ,6571,14 ,40.2,168
lotteria,치킨하프팩 - 콘샐러드,1232 ,2967,8 ,17.8,75
lotteria,치킨하프팩 - 포테이토,1353 ,3100,6 ,19.6,77
lotteria,치킨패밀리팩_포테이토,1714 ,3744,6 ,24.0,100
lotteria,치킨패밀리팩_콘샐러드,1594 ,3612,8 ,22.1,98
lotteria,치킨휠레2조각,183,370,0,1.9,15
lotteria,치킨휠레4조각,366,740,0,3.8,29
lotteria,화이어윙2조각,178,275,0,2.5,9
lotteria,화이어윙4조각,357,549,0,5.0,17
lotteria,순살치킨하프,739,1341,3,13.0,36
lotteria,순살치킨풀팩,1477,2682,6,26.0,71
lotteria,비프패티토핑,172,155,0,6.6,7
lotteria,반숙계란 토핑,41,204,0.1,0.4,4
lotteria,베이컨토핑,42,58,0,1.7,2
lotteria,토마토토핑,4,1,1,0.0,0
lotteria,화이트치즈 토핑,60,140,0,3.0,3
lotteria,치킨무,13,116,2,0.0,0
lotteria,치즈토핑,66,174,0,4.0,3
lotteria,더블팩 - 콜라,2073,2489,154,21.9,56
lotteria,더블팩 - 사이다,2073,2489,154,21.9,56
lotteria,투게더팩 - 콜라,1977,2196,164,20.1,43
lotteria,투게더_팩_콜라,1977,2196,164,20.1,43
lotteria,투게더팩 - 사이다,1977,2196,164,20.1,43
lotteria,투게더_팩_사이다,1977,2196,164,20.1,43
lotteria,패밀리팩 - 콜라,2790,3526,167,36.2,84
lotteria,패밀리팩 - 사이다,2790,3526,167,36.2,84
lotteria,제로슈거콜라,0,56,0,0.0,0
lotteria,제로슈거콜라(L),0,77,0,0.0,0
lotteria,콜라,127,15,31,0.0,0
lotteria,콜라(L),173,20,42,0.0,0
lotteria,사이다,133,7,31,0.0,0
lotteria,사이다(L),182,9,42,0.0,0
lotteria,레몬에이드,151,20,34,0.0,0
lotteria,레몬에이드(L),217,29,49,0.0,0
lotteria,미숫가루라떼 R,238,91,29,5.7,7
lotteria,미숫가루라떼 L,339,131,40,8.2,11
lotteria,복숭아홍차에이드 R,160,10,38,0,0
lotteria,복숭아홍차에이드 L,224,10,53,0,0
lotteria,자두쿨에이드 R,162,20,36,0.1,0
lotteria,자두쿨에이드 L,226,25,51,0.1,0
lotteria,아이스티,160,0,39,0.0,0
lotteria,아이스티(L),232,0,57,0.0,0
lotteria,캐모마일 티,2,0,0,0,0
lotteria,애플 캐모마일 티,129,10,27,0,0
lotteria,아메리카노,34,2,0,0.5,1
lotteria,카페라떼,206,105,12,5.6,11
lotteria,아이스아메리카노,32,2,0,0.5,1
lotteria,아이스아메리카노(L),55,3,0,0.8,2
lotteria,아이스카페라떼,106,40,5,2.1,5
macdonald,Egg McMuffin,300,750,3,13.0,17
macdonald,Egg White Delight,250,770,3,8.0,18
macdonald,Sausage McMuffin,370,780,2,23.0,14
macdonald,Sausage McMuffin with Egg,450,860,2,28.0,21
macdonald,Sausage McMuffin with Egg Whites,400,880,2,23.0,21
macdonald,Steak & Egg McMuffin,430,960,3,23.0,26
macdonald,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",460,1300,3,26.0,19
macdonald,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",520,1410,4,30.0,19
macdonald,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",410,1300,3,20.0,20
macdonald,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",470,1420,4,25.0,20
macdonald,Sausage Biscuit (Regular Biscuit),430,1080,2,27.0,11
macdonald,Sausage Biscuit (Large Biscuit),480,1190,3,31.0,11
macdonald,Sausage Biscuit with Egg (Regular Biscuit),510,1170,2,33.0,18
macdonald,Sausage Biscuit with Egg (Large Biscuit),570,1280,3,37.0,18
macdonald,Sausage Biscuit with Egg Whites (Regular Biscuit),460,1180,3,27.0,18
macdonald,Sausage Biscuit with Egg Whites (Large Biscuit),520,1290,3,32.0,18
macdonald,Southern Style Chicken Biscuit (Regular Biscuit),410,1180,3,20.0,17
macdonald,Southern Style Chicken Biscuit (Large Biscuit),470,1290,4,24.0,17
macdonald,Steak & Egg Biscuit (Regular Biscuit),540,1470,3,32.0,25
macdonald,"Bacon, Egg & Cheese McGriddles",460,1250,15,21.0,19
macdonald,"Bacon, Egg & Cheese McGriddles with Egg Whites",400,1250,16,15.0,20
macdonald,Sausage McGriddles,420,1030,15,22.0,11
macdonald,"Sausage, Egg & Cheese McGriddles",550,1320,15,31.0,20
macdonald,"Sausage, Egg & Cheese McGriddles with Egg Whites",500,1320,15,26.0,21
macdonald,"Bacon, Egg & Cheese Bagel",620,1480,7,31.0,30
macdonald,"Bacon, Egg & Cheese Bagel with Egg Whites",570,1480,8,25.0,30
macdonald,"Steak, Egg & Cheese Bagel",670,1510,7,35.0,33
macdonald,Big Breakfast (Regular Biscuit),740,1560,3,48.0,28
macdonald,Big Breakfast (Large Biscuit),800,1680,3,52.0,28
macdonald,Big Breakfast with Egg Whites (Regular Biscuit),640,1590,3,37.0,26
macdonald,Big Breakfast with Egg Whites (Large Biscuit),690,1700,4,41.0,26
macdonald,Big Breakfast with Hotcakes (Regular Biscuit),1090,2150,17,56.0,36
macdonald,Big Breakfast with Hotcakes (Large Biscuit),1150,2260,17,60.0,36
macdonald,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),990,2170,17,46.0,35
macdonald,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),1050,2290,18,50.0,35
macdonald,Hotcakes,350,590,14,9.0,8
macdonald,Hotcakes and Sausage,520,930,14,24.0,15
macdonald,Sausage Burrito,300,790,2,16.0,12
macdonald,Hash Brown,150,310,0,9.0,1
macdonald,Cinnamon Melts,460,370,32,19.0,6
macdonald,Fruit & Maple Oatmeal,290,160,32,4.0,5
macdonald,Fruit & Maple Oatmeal without Brown Sugar,260,115,18,4.0,5
macdonald,Big Mac,530,960,9,27.0,24
macdonald,Quarter Pounder with Cheese,520,1100,10,26.0,30
macdonald,Quarter Pounder with Bacon & Cheese,600,1440,12,29.0,37
macdonald,Quarter Pounder with Bacon Habanero Ranch,610,1180,10,31.0,37
macdonald,Quarter Pounder Deluxe,540,960,9,27.0,29
macdonald,Double Quarter Pounder with Cheese,750,1280,10,43.0,48
macdonald,Hamburger,240,480,6,8.0,12
macdonald,Cheeseburger,290,680,7,11.0,15
macdonald,Double Cheeseburger,430,1040,7,21.0,24
macdonald,Bacon Clubhouse Burger,720,1470,14,40.0,39
macdonald,McDouble,380,840,7,17.0,22
macdonald,Bacon McDouble,440,1110,7,22.0,27
macdonald,Daily Double,430,760,7,22.0,22
macdonald,Jalapeño Double,430,1030,6,23.0,22
macdonald,McRib,500,980,11,26.0,22
macdonald,Premium Crispy Chicken Classic Sandwich,510,990,10,22.0,24
macdonald,Premium Grilled Chicken Classic Sandwich,350,820,8,9.0,28
macdonald,Premium Crispy Chicken Club Sandwich,670,1410,11,33.0,36
macdonald,Premium Grilled Chicken Club Sandwich,510,1250,9,20.0,40
macdonald,Premium Crispy Chicken Ranch BLT Sandwich,610,1400,11,28.0,32
macdonald,Premium Grilled Chicken Ranch BLT Sandwich,450,1230,9,15.0,36
macdonald,Bacon Clubhouse Crispy Chicken Sandwich,750,1720,16,38.0,36
macdonald,Bacon Clubhouse Grilled Chicken Sandwich,590,1560,14,25.0,40
macdonald,Southern Style Crispy Chicken Sandwich,430,910,7,19.0,21
macdonald,McChicken,360,800,5,16.0,14
macdonald,Bacon Cheddar McChicken,480,1260,6,24.0,22
macdonald,Bacon Buffalo Ranch McChicken,430,1260,6,21.0,20
macdonald,Buffalo Ranch McChicken,360,990,5,16.0,14
macdonald,Premium McWrap Chicken & Bacon (Crispy Chicken),630,1540,7,32.0,32
macdonald,Premium McWrap Chicken & Bacon (Grilled Chicken),480,1370,6,19.0,36
macdonald,Premium McWrap Chicken & Ranch (Crispy Chicken),610,1340,8,31.0,27
macdonald,Premium McWrap Chicken & Ranch (Grilled Chicken),450,1170,6,18.0,30
macdonald,Premium McWrap Southwest Chicken (Crispy Chicken),670,1480,12,33.0,27
macdonald,Premium McWrap Southwest Chicken (Grilled Chicken),520,1320,10,20.0,31
macdonald,Premium McWrap Chicken Sweet Chili (Crispy Chicken),540,1260,14,23.0,23
macdonald,Premium McWrap Chicken Sweet Chili (Grilled Chicken),380,1090,12,10.0,27
macdonald,Chicken McNuggets (4 piece),190,360,0,12.0,9
macdonald,Chicken McNuggets (6 piece),280,540,0,18.0,13
macdonald,Chicken McNuggets (10 piece),470,900,0,30.0,22
macdonald,Chicken McNuggets (20 piece),940,1800,0,59.0,44
macdonald,Chicken McNuggets (40 piece),1880,3600,1,118.0,87
macdonald,Filet-O-Fish,390,590,5,19.0,15
macdonald,Premium Bacon Ranch Salad (without Chicken),140,300,4,7.0,9
macdonald,Premium Bacon Ranch Salad with Crispy Chicken,380,860,5,21.0,25
macdonald,Premium Bacon Ranch Salad with Grilled Chicken,220,690,4,8.0,29
macdonald,Premium Southwest Salad (without Chicken),140,150,6,4.5,6
macdonald,Premium Southwest Salad with Crispy Chicken,450,850,12,22.0,23
macdonald,Premium Southwest Salad with Grilled Chicken,290,680,10,8.0,27
macdonald,Chipotle BBQ Snack Wrap (Crispy Chicken),340,780,8,15.0,14
macdonald,Chipotle BBQ Snack Wrap (Grilled Chicken),260,700,7,8.0,16
macdonald,Honey Mustard Snack Wrap (Crispy Chicken),330,730,3,15.0,14
macdonald,Honey Mustard Snack Wrap (Grilled Chicken),250,650,2,8.0,16
macdonald,Ranch Snack Wrap (Crispy Chicken),360,810,3,20.0,15
macdonald,Ranch Snack Wrap (Grilled Chicken),280,720,2,13.0,16
macdonald,Small French Fries,230,130,0,11.0,2
macdonald,Medium French Fries,340,190,0,16.0,4
macdonald,Large French Fries,510,290,0,24.0,6
macdonald,Kids French Fries,110,65,0,5.0,1
macdonald,Side Salad,20,10,2,0.0,1
macdonald,Apple Slices,15,0,3,0.0,0
macdonald,Fruit 'n Yogurt Parfait,150,70,23,2.0,4
macdonald,Baked Apple Pie,250,170,13,13.0,2
macdonald,Chocolate Chip Cookie,160,90,15,8.0,2
macdonald,Oatmeal Raisin Cookie,150,135,13,6.0,2
macdonald,Kids Ice Cream Cone,45,20,6,1.5,1
macdonald,Hot Fudge Sundae,330,170,48,9.0,8
macdonald,Hot Caramel Sundae,340,150,43,8.0,7
macdonald,Strawberry Sundae,280,85,45,6.0,6
macdonald,Coca-Cola Classic (Small),140,0,39,0.0,0
macdonald,Coca-Cola Classic (Medium),200,5,55,0.0,0
macdonald,Coca-Cola Classic (Large),280,5,76,0.0,0
macdonald,Coca-Cola Classic (Child),100,0,28,0.0,0
macdonald,Diet Coke (Small),0,10,0,0.0,0
